cat_num,Latitude,Longitude,quality,link,num_syllables,freq_range_mm,duration_mm,two_khz_mm,two_sec_mm,skip_notes,group_letter,group_members
345809461,35.7648102,-86.2915931,4,https://macaulaylibrary.org/asset/345809461,11,5,75,9,95,,E,
345755321,41.4319095,-72.2873071,3,https://macaulaylibrary.org/asset/345755321,8,3,45,9,95,,E,
345745761,41.4438793,-73.8607155,3.5,https://macaulaylibrary.org/asset/345745761,13,15,55,8.5,97,,E,
345745741,41.4438793,-73.8607155,3,https://macaulaylibrary.org/asset/345745741,9,13,98,8.5,97,,E,
345730991,33.9183983,-88.9038724,4.5,https://macaulaylibrary.org/asset/345730991,9,3,110,8.5,97,,E,
345673011,41.0290844,-72.1875189,3,https://macaulaylibrary.org/asset/345673011,12,20,117,8.5,97,,E,
345660701,41.4319095,-72.2873071,4.5,https://macaulaylibrary.org/asset/345660701,13,16,90,8.5,97,,E,
345470201,44.823,-87.315506,3.5,https://macaulaylibrary.org/asset/345470201,14,17,84,8.5,97,,E,
345470191,44.823,-87.315506,3,https://macaulaylibrary.org/asset/345470191,17,16,145,8.5,97,,E,
345437001,39.4178615,-77.2069788,4.5,https://macaulaylibrary.org/asset/345437001,16,17,109,8.5,97,,E,
345408861,42.326697,-85.3473759,3,https://macaulaylibrary.org/asset/345408861,8,12,68,8.5,97,,E,
345167731,44.5590717,-77.1170926,4,https://macaulaylibrary.org/asset/345167731,11,16,99,8.5,97,,E,
344868191,42.3483635,-76.1646831,3,https://macaulaylibrary.org/asset/344868191,19,19,121,8.5,97,,E,
344567481,44.823,-87.315506,3,https://macaulaylibrary.org/asset/344567481,13,19,88,8.5,97,,E,
344498951,43.2081475,-71.4938092,3,https://macaulaylibrary.org/asset/344498951,5,5,90,180,95,,E,
344390191,42.326697,-85.3473759,3,https://macaulaylibrary.org/asset/344390191,10,16,48,180,95,,E,
344295491,44.138072,-70.450422,3,https://macaulaylibrary.org/asset/344295491,10,15,90,180,95,,E,
340882871,43.25471,-81.83647,4,https://macaulaylibrary.org/asset/340882871,21,24,150,180,95,,E,
338192851,34.9951463,-82.4032009,4,https://macaulaylibrary.org/asset/338192851,26,10,105,180,95,,E,
321903891,42.2831722,-76.6559494,3,https://macaulaylibrary.org/asset/321903891,9,9,76,180,95,,E,
320396811,43.508689,-91.3480461,3,https://macaulaylibrary.org/asset/320396811,13,16,67,180,95,,E,
290696671,41.9303792,-88.4138918,4.86,https://macaulaylibrary.org/asset/290696671,18,20,110,180,95,,E,
286857651,43.508689,-91.3480461,3.5,https://macaulaylibrary.org/asset/286857651,15,5,90,180,95,,E,
285513361,43.028053,-89.832572,3.5,https://macaulaylibrary.org/asset/285513361,10,7,90,180,95,,E,
278496301,42.7182439,-71.4009941,3,https://macaulaylibrary.org/asset/278496301,4,14,80,180,95,,E,
265271841,41.6066506,-70.5907631,4,https://macaulaylibrary.org/asset/265271841,10,5,75,180,95,,E,
265269951,41.542976,-70.62774,3,https://macaulaylibrary.org/asset/265269951,10,8,67,180,95,,E,
258529201,41.89129,-88.22697,4,https://macaulaylibrary.org/asset/258529201,8,9,123,190,130,,E,
256783821,41.21491,-77.294653,5,https://macaulaylibrary.org/asset/256783821,11,11,104,190,130,,E,
251149471,42.3101677,-76.5216895,5,https://macaulaylibrary.org/asset/251149471,19,35,116,190,130,,E,
251148521,42.3101677,-76.5216895,4,https://macaulaylibrary.org/asset/251148521,19,26,113,190,130,,E,
